"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964264990510354446","Sat Sep 06 09:50:42 +0000 2025","204","Rangkaian Abolisi dan Amnesti Prabowo Kemarahan Genk Solo Diarahkan ke DPR Karena Pemakzulan Gibran.. Kejanggalan demo dibongkar oleh aktivis 98.. https://t.co/fLFTVXcYrO","1964264990510354446","https://pbs.twimg.com/ext_tw_video_thumb/1964264713480785923/pu/img/YqnzaIAEiFLyTDP1.jpg","","in","","3","5","63","https://x.com/undefined/status/1964264990510354446","1826886526657318912",
"1964264966652826022","Sat Sep 06 09:50:36 +0000 2025","0","ga terima bgt liat rincian hak keuangan DPR ada biaya intensif komunikasi dengan masyarakat nominal nya 20 jt an. what that for? rakyat mana yg dimaksud?mereka bahkan gapernah sama sekali mau komunikasi langsung sm kita di demo aja kabur kaburan ke luar negeri. kawal terus 17+8","1964264966652826022","","","in","","0","0","0","https://x.com/undefined/status/1964264966652826022","1450446550727987206",
"1964263668906152071","Sat Sep 06 09:46:31 +0000 2025","0","@die_biarin Halo! Di sore ini berita terkini di Indonesia: Polisi konfirmasi tak ada demo di Jakarta. Ada acara Jakarta Bersalawat di Monas. DPR jawab 17+8 tuntutan rakyat di acara TV. Cuaca cerah yuk nikmati akhir pekan! ","1964263935135404255","","die_biarin","in","","0","0","0","https://x.com/undefined/status/1964263935135404255","1720665183188922368",
"1964263422578594250","Sat Sep 06 09:44:28 +0000 2025","0","HATI HATI PAK PRABOWO Apakah ini benar??? Hati-hati Provokasi semoga tidak ada lagi korban jiwa lagi akibat kericuhan demo. #prabowosubianto #anisbaswedan #dpr https://t.co/T2kVlNgROh","1964263422578594250","https://pbs.twimg.com/ext_tw_video_thumb/1964263382850170880/pu/img/vfylEL-0hSbTEEE2.jpg","","in","","0","0","0","https://x.com/undefined/status/1964263422578594250","1863802599583240192",
"1964263312868229265","Sat Sep 06 09:44:02 +0000 2025","0","Mau demo di masa depan pun nanti terjadi gw ga akan setuju kalo DPR bubar","1964263312868229265","","","in","","0","0","0","https://x.com/undefined/status/1964263312868229265","1014062322384420869",
"1964262669034136047","Sat Sep 06 09:41:29 +0000 2025","97","Ferry Irwandi: Kami tidak ikutan demo di DPR karena demo di DPR itu aneh banyak akun pro pemerintah yang setuju bla..bla..bla.. Also Ferry Irwandi: Demo di DPR itu sukses karena kami jadi kami membuat tuntutan 17+8 https://t.co/7aYjyBuYqV","1964262669034136047","https://pbs.twimg.com/media/G0J2fNMWEAAXKH-.jpg","","in","","6","14","35","https://x.com/undefined/status/1964262669034136047","1184695438365974528",
"1964261847101501560","Sat Sep 06 09:38:13 +0000 2025","0"," Tiap tahun demo tiap tahun nuntut tpi dampak perubahannya dan partisipasinya bs dikatakan kecil Instead kamu menelaahwatak penguasa kamu mlh srang organ lain. Noh lihat sejauh mana tindaklanjut DPR trhdp 17+8 tuntutan yg diterima sama bapaknya zize bbrp hari lalu?","1964261847101501560","","","in","","0","0","0","https://x.com/undefined/status/1964261847101501560","705564946789060610",
"1964260579318665264","Sat Sep 06 09:34:39 +0000 2025","0","@_katesgantung Berdasarkan info terkini dari sumber berita seperti Kompas dan Tribun demo kemarin (5 Sep 2025) di depan DPR Jakarta berlangsung damai dengan nuansa piknik melibatkan mahasiswa dan masyarakat sipil. Mereka tuntut pemenuhan 17+8 Tuntutan Rakyat (17 jangka pendek + 8 jangka","1964260951714357505","","_katesgantung","in","","0","1","0","https://x.com/undefined/status/1964260951714357505","1720665183188922368",
"1964260843971105207","Sat Sep 06 09:34:14 +0000 2025","0","Peningkatan komunikasi bla bla bla tu dpr kalo pinter komunikasi juga rakyat ga demo blok. Tunjangan mulu dinaikin kinerja NOL BESAR","1964260843971105207","","","in","","0","0","0","https://x.com/undefined/status/1964260843971105207","1887863058678345728",
"1964260530891182082","Sat Sep 06 09:32:59 +0000 2025","0","Andai DPR dari awal ngebolehin masuk anzzinggg full video di youtube: Yelioom World https://t.co/mOnUsSZ83U #YelioomWorld #acab #affan #dprri #demo https://t.co/1M5xawPqSr","1964260530891182082","https://pbs.twimg.com/ext_tw_video_thumb/1964260449937215489/pu/img/6gHEnp2oznDCVSVS.jpg","","in","","0","0","0","https://x.com/undefined/status/1964260530891182082","1541079833589223430",
